model,timestamp,gross_return,turnover,net_return,gross_cumulative_return,net_cumulative_return
KNN,1631577960,-0.0008312959689646959,1.3333333333333333,-0.002164629302298029,0.1429924620272447,-0.8699116012744409
KNN,1631579160,0.0008905925787985325,1.3333333333333333,-0.0004427407545348008,0.14401040263154874,-0.8699691967102489
KNN,1631580360,-0.0001878043112810701,1.6666666666666665,-0.0018544709779477367,0.14379555254578413,-0.8702103350611889
KNN,1631581560,0.0005292892456054688,1.6666666666666665,-0.0011373774210611978,0.1444009512309179,-0.8703579548955774
KNN,1631582760,0.0021579067688435316,1.6666666666666665,0.000491240102176865,0.14687046178984997,-0.8702942695240939
KNN,1631583960,0.0029034714098088443,2.0,0.0009034714098088443,0.15020036738641096,-0.8701770841049206
KNN,1631585160,0.003074477193877101,1.3333333333333333,0.0017411438605437677,0.15373663218432965,-0.869951043731952
KNN,1631586360,0.002521773101761937,2.0,0.0005217731017619371,0.1566460941898895,-0.8698831876846591
KNN,1631587560,-0.0006728471489623189,1.6666666666666665,-0.0023395138156289855,0.15586784816305554,-0.8701875977647164
KNN,1631588760,8.343649096786976e-05,1.0,-0.0009165635090321303,0.15596428972032883,-0.8703065790756251
KNN,1631589960,-0.0021305677946656942,2.0,-0.004130567794665694,0.15350142943286715,-0.8708422865432753
KNN,1631591160,-0.0022878349118400365,2.0,-0.0042878349118400366,0.15086240859175315,-0.8713960934961685
KNN,1631592360,0.001452326774597168,1.3333333333333333,0.00011899344126383468,0.15253383688162825,-0.8713807904747737
KNN,1631593560,0.002575308142695576,1.3333333333333333,0.0012419748093622427,0.15550196665648164,-0.8712210486565433
KNN,1631594760,-0.0025565822143107653,1.6666666666666665,-0.004223248880977432,0.15254783087992663,-0.871764914218698
KNN,1631595960,0.0021706720581278205,1.3333333333333333,0.0008373387247944872,0.15504963425207352,-0.871657538015496
KNN,1631597160,0.0028065741062164307,1.3333333333333333,0.0014732407728830974,0.15829136664696009,-0.8714684586676082
KNN,1631598360,0.005102912662550807,1.6666666666666665,0.0034362459958841404,0.16420202632874603,-0.8710267926733599
KNN,1631599560,0.0008188287611119449,1.6666666666666665,-0.0008478379055547216,0.16515530843164883,-0.8711361410473324
KNN,1631600760,0.0010950565338134766,1.6666666666666665,-0.00057161013285319,0.16643121936505434,-0.8712098009348683
