model,Asset_ID,rows,rmse,mae,pearson_ic,direction_accuracy,decile_target_spread
Neural Network,4,3888,0.0028722406452624276,0.0016979898791760206,0.05808717493750456,0.49974279835390945,5.425392009783536e-05
Neural Network,5,3888,0.00296491056604409,0.0018571136752143502,0.04323253229788972,0.5136316872427984,0.00035805453080683947
Neural Network,6,3888,0.001767719339865928,0.001251816749572754,0.004704306431856912,0.5064300411522634,5.771968062617816e-05
Neural Network,7,3888,0.0025219340740644954,0.0016742654843255877,-0.016453858170843695,0.5002572016460906,-2.7358488296158612e-05
Neural Network,8,3885,0.00725277186494635,0.004790472332388163,0.03073009748027605,0.5065637065637065,0.0006341039552353323
Neural Network,9,3888,0.004539073596440042,0.002127552404999733,-0.03874887842812338,0.5061728395061729,-0.0002635434502735734
Neural Network,10,3872,0.004658316085990755,0.0030279504135251045,-0.08849773870098063,0.5152376033057852,-0.0004565084236674011
Neural Network,11,3886,0.004016619227593922,0.0027217285241931677,0.06185949149765447,0.5090066906845085,0.0008518712129443884
Neural Network,12,3888,0.0028578335150446217,0.001839043223299086,0.11825798613757829,0.5200617283950617,0.0006419040728360415
Neural Network,13,3888,0.003804594848767961,0.0023428837303072214,0.016997516578981003,0.510545267489712,0.00018133966659661382
